_link,_link_main,dataApertura,dataFineRaccolta,dataFineValidita,dataGazzetta,dataInizioRaccolta,dataInizioValidita,dataIns,dataUltimoAgg,descrizione,descrizioneBreve,estremi,id,titoloLeggeCostituzionale,titolo,supportata,sostenitori,sito,logo,quesito,quorum,idDecCatIniziativa_dataFineValidita,idDecCatIniziativa_dataInizioValidita,idDecCatIniziativa_descrizione,idDecCatIniziativa_id,idDecCatIniziativa_nome,idDecStatoIniziativa_dataFineValidita,idDecStatoIniziativa_dataInizioValidita,idDecStatoIniziativa_descrizione,idDecStatoIniziativa_id,idDecStatoIniziativa_nome,idDecStatoLogo_dataFineValidita,idDecStatoLogo_dataInizioValidita,idDecStatoLogo_descrizione,idDecStatoLogo_id,idDecStatoLogo_nome,idDecTipoIniziativa_dataFineValidita,idDecTipoIniziativa_dataInizioValidita,idDecTipoIniziativa_descrizione,idDecTipoIniziativa_id,idDecTipoIniziativa_nome,dataChiusura
0.content.0,0,2024-07-26,2025-01-26,9999-12-31,2024-05-31,2024-07-26,2024-07-26,2024-07-26T12:33:06,2024-07-26,"Questa proposta di legge ha un duplice obiettivo. Innanzitutto, quello di garantire e rinforzare l’applicazione dei principi di democrazia e trasparenza all’interno dei partiti politici, associazioni di
rilievo costituzionale che concorrono all’articolazione e alla determinazione della politica su tutti i livelli territoriali: locale, regionale, nazionale ed europeo. Ciò perché i partiti, in quanto promotori della partecipazione politica dei cittadini e delle cittadine, non possono sottrarsi al principio democratico che informa la nostra stessa Repubblica e le istituzioni del Paese; inoltre, l’assenza di democraticità nei partiti influisce negativamente sulla loro capacità di rappresentare le istanze provenienti dalla società e sulla loro legittimazione che di conseguenza si riverbera sulla loro capacità di attrarre i cittadini. A tale criticità si lega, appunto, il secondo obiettivo, ovvero quello di garantire un maggior coinvolgimento e una maggior partecipazione politica, soprattutto per quanto riguarda i giovani tra i 16 e i 35 anni, che nelle recenti elezioni politiche hanno fatto registrare il più alto tasso di astensionismo.","La presente proposta mira a rafforzare la disciplina dei principi di democrazia e trasparenza - intesa sia come evidenza pubblica della gestione delle risorse sia come effettiva cognizione e compartecipazione delle decisioni assunte da parte degli iscritti - all'interno dei partiti politici. La proposta, partendo dalla consapevolezza del costo della politica, reintroduce il finanziamento pubblico diretto ai partiti, vincolandolo però ad alcune finalità specifiche (come la formazione dei giovani) e istituendo un'Autorità nazionale sui partiti politici per vigilare sul suo utilizzo.  ",400029,500022,"Norme per la democrazia, la trasparenza di bilancio ed il finanziamento pubblico dei partiti politici (art. 49 della Costituzione)pubblico diretto alla partecipazione politica",La Tua Politica. Scelte per la Democrazia - Proposta di legge sulla Democrazia interna e la Trasparenza dei Partiti Politici,false,11711,https://www.acli.it/la-tua-politica/,,,50000,9999-12-31,2021-08-01,VITA POLITICA,1,VITA POLITICA,9999-12-31,2021-08-01,IN RACCOLTA FIRME,2,IN RACCOLTA FIRME,9999-12-31,2021-09-22,VERIFICATO,1,VERIFICATO,9999-12-31,2021-08-01,Legge di iniziativa popolare (art. 71 Costituzione),4,Legge di iniziativa popolare (art. 71 Costituzione),
0.content.1,0,2024-07-26,2025-01-26,9999-12-31,2024-05-31,2024-07-26,2024-07-26,2024-07-26T13:13:56,2024-07-26,"La proposta di legge individua dei principi generali in materia di partecipazione e prevede l’istituzione di assemblee partecipative a livello nazionale, regionale o locale. L’intento principale è quello di ridare importanza e centralità nel processo decisionale democratico alle formazioni sociali e alla cittadinanza attiva, coinvolgendo cittadini e cittadine nell’articolazione di proposte e relazioni verso le quali i decisori pubblici a tutti i livelli siano tenuti a prendere posizione. In questo modo, la partecipazione dei cittadini, attraverso anche una fase formativa garantita dalle assemblee partecipative, viene estesa ben al di là del solo momento del voto e viene potenziata proprio grazie alla possibilità di ricevere una formazione dedicata e di effettuare una fase istruttoria sul tema che viene sottoposto al dibattito e al confronto. La proposta fa tesoro delle indicazioni fornite dalla Raccomandazione (UE) 2023/2836 della Commissione Europea del 12 dicembre 2023 “sulla promozione del coinvolgimento e della partecipazione effettiva dei cittadini e delle organizzazioni della società civile ai processi di elaborazione delle politiche pubbliche” e delle linee guida dell’OCSE sui processi partecipativi del 2022.","La presente proposta di legge di iniziativa popolare è finalizzata alla promozione e alla disciplina di alcuni principi connessi alla partecipazione democratica e all'istituzione - a livello nazionale, regionale e locale - delle assemblee partecipative di cittadinanza: veri e propri organismi di partecipazione e rappresentanza civica  aperti a tutti e chiamati a esprimersi con pareri - su materie di interesse dei cittadini - alle istituzioni competenti che sarebbero tenute ad esprimersi sulla materia oggetto del singolo parere entro 180 giorni dalla ricezione dello stesso. ",400026,500023,Istituzione delle assemblee di cittadinanza per promozione della partecipazione democratica dei cittadini,La Tua Politica. Scelte per la Democrazia - Proposta di legge per la Partecipazione Democratica e le Assemblee Partecipative,false,6038,https://www.acli.it/la-tua-politica/,,,50000,9999-12-31,2021-08-01,VITA POLITICA,1,VITA POLITICA,9999-12-31,2021-08-01,IN RACCOLTA FIRME,2,IN RACCOLTA FIRME,9999-12-31,2021-09-22,VERIFICATO,1,VERIFICATO,9999-12-31,2021-08-01,Legge di iniziativa popolare (art. 71 Costituzione),4,Legge di iniziativa popolare (art. 71 Costituzione),
0.content.2,0,2024-08-04,2025-02-04,9999-12-31,2024-06-25,2024-08-04,2024-08-04,2024-08-04T10:15:02,2024-08-04,"Legge di iniziativa popolare per l'abolizione di tutti i ticket sanitari, di ogni forma di compartecipazione alla spesa sanitaria da parte dell'utenza, affinché la spesa sanitaria sia finanziata unicamente attraverso la fiscalità generale progressiva.",Abolizione dei ticket sanitari,400024,700000,Abolizione dei ticket sanitari,Abolizione dei ticket sanitari ,false,15564,,,,50000,1999-12-31,2021-08-01,QUESTIONI SOCIALI,8,QUESTIONI SOCIALI,9999-12-31,2021-08-01,IN RACCOLTA FIRME,2,IN RACCOLTA FIRME,,,,,,9999-12-31,2021-08-01,Legge di iniziativa popolare (art. 71 Costituzione),4,Legge di iniziativa popolare (art. 71 Costituzione),
0.content.3,0,2024-09-25,2025-03-25,9999-12-31,2024-09-20,2024-09-25,2024-09-25,2024-09-25T12:21:57,2024-09-25,"Questa proposta di legge di iniziativa popolare nasce con l’obiettivo di adeguare la Legge n. 717/1949 alla contemporaneità urbanistica delle nostre città.
Attualmente, la presenza di opere d’arte è limitata ai centri storici, ed volte neanche lì, ed ai musei. L’arte è fondamentale per lo sviluppo emozionale ed estetico della popolazione; l’Italia, che è nota come il Paese faro per l’arte nel Mondo, deve oggi essere in grado di presentare in ogni suo spazio pubblico, opere d’arte in grado di suscitare una forte emozione estetica a tutti coloro i quali vivono la realtà cittadina, siano loro residenti, occasionali avventori, ed anche turisti.
L’attuale legge è fortemente limitativa, in quanto la sua interpretazione letterale è viziata dalla locuzione “edifici pubblici”; mediante la proposta modifica di legge, si vuole chiarire l’intento che ha mosso il legislatore sin dal dopoguerra, il quale intendeva incentivare anche la grande capacità artistica degli italiani, obbligando gli Enti Pubblici a destinare il 2% dell’importo degli appalti all’abbellimento dei siti ove venivano realizzate opere pubbliche.
In questo solco si inserisce pertanto la nostra proposta di modifica di legge.
",Questa proposta di legge di iniziativa popolare nasce con l’obiettivo di adeguare la Legge n. 717/1949 alla contemporaneità urbanistica delle nostre città.,800000,1400001,Modifiche alla Legge 29 Luglio 1949 n. 717 Norme per l’arte negli edifici pubblici,Modifiche alla Legge 29 Luglio 1949 n. 717 Norme per l’arte negli edifici pubblici,false,1628,,,,50000,9999-12-31,2021-08-01,VITA POLITICA,1,VITA POLITICA,9999-12-31,2021-08-01,IN RACCOLTA FIRME,2,IN RACCOLTA FIRME,,,,,,9999-12-31,2021-08-01,Legge di iniziativa popolare (art. 71 Costituzione),4,Legge di iniziativa popolare (art. 71 Costituzione),
0.content.4,0,2024-10-30,2025-04-30,9999-12-31,2024-10-26,2024-10-30,2024-10-30,2024-10-30T16:59:56,2024-10-30,"La Legge Lorini-Papa disciplina la concessione della Laurea alla memoria agli studenti universitari italiani deceduti prima del completamento del proprio percorso accademico. La normativa prevede che la laurea postuma possa essere conferita agli studenti che abbiano completato almeno il 50% dei crediti previsti dal piano di studi del corso di laurea; in casi eccezionali, è possibile richiedere una deroga. La legge stabilisce una procedura dettagliata, in base alla quale i familiari stretti dello studente devono inoltrare una domanda al rettore dell’università presso cui il defunto era iscritto, corredata da certificato di morte, iscrizione, piano di studi, e attestazioni riguardanti esami superati e crediti acquisiti. La valutazione della richiesta è affidata al consiglio di dipartimento o al consiglio del corso di studi, il quale, esaminata la documentazione entro 90 giorni dalla ricezione, delibera la concessione del diploma di Laurea alla memoria con maggioranza semplice. Se approvata, la laurea viene conferita durante una cerimonia ufficiale organizzata dall’università, in cui familiari, amici e docenti possono commemorare lo studente scomparso. L’università provvede agli adempimenti necessari attraverso le proprie risorse, senza ulteriori oneri per la finanza pubblica.","La Legge Lorini-Papa disciplina la concessione della Laurea alla memoria per gli studenti universitari deceduti prima di completare i propri studi, riconoscendo il loro impegno accademico e proponendosi quale conforto morale ai familiari. Questo riconoscimento simbolico è conferito tramite una cerimonia commemorativa ufficiale.",1100000,1600012,«Legge Lorini-Papa: Concessione della Laurea alla Memoria come Atto di Umanità e Riconoscimento»,«Legge Lorini-Papa: Concessione della Laurea alla Memoria come Atto di Umanità e Riconoscimento»,false,6709,https://www.lucianolorini.it/laureaallamemoria/,,,50000,1999-12-31,2021-08-01,ISTRUZIONE E COMUNICAZIONE,9,ISTRUZIONE E COMUNICAZIONE,9999-12-31,2021-08-01,IN RACCOLTA FIRME,2,IN RACCOLTA FIRME,9999-12-31,2021-09-22,VERIFICATO,1,VERIFICATO,9999-12-31,2021-08-01,Legge di iniziativa popolare (art. 71 Costituzione),4,Legge di iniziativa popolare (art. 71 Costituzione),
0.content.5,0,2024-12-14,2025-06-14,9999-12-31,2024-04-19,2024-12-14,2024-12-11,2024-12-11T10:24:02,2024-12-14,"Sono passati otto anni da quando – nell’agosto del 2016 – il Comitato ONU istituito dalla Convenzione per i Diritti delle persone con Disabilità (CRPD) raccomandava all’Italia la necessità di rispettare i diritti riconosciuti dalla Convenzione alle persone con disabilità, provvedendo all’abolizione dell’interdizione, dell’inabilitazione e dell’amministrazione di sostegno “sostitutiva”.
Gli antichi istituti dell’interdizione, dell’inabilitazione e (in moltissimi casi)  il nuovo strumento dell’amministrazione di sostegno, infatti, portano in sé una latitudine di poteri conferiti al Giudice tutelare ed al tutore/curatore/amministratore di sostegno, tale da corrispondere  in decine di migliaia di casi alla possibilità di sostituirsi al “beneficiario” (così lo definisce la legge) nella scelta del luogo dove vivere, delle comunicazioni da intrattenere, delle cure cui sottoporsi, etc…, con una “delega in bianco” che viola in modo clamoroso gli obblighi internazionali dell’Italia quale firmataria della CRPD.
La proposta di legge, cosi facendo rientrare l'Italia nella ""legalità internazionale"" conformandosi agi obblighi statuiti dalla CRPD elimina la possibilità che chiunque, compresi Amministratore di Sostegno e Giudice tutelare, possano “sostituirsi” al diretto interessato. Quest’ ultimo deve essere necessari mene coinvolto e dare il suo consenso ad ogni decisione che riguardi la sua vita.","Legge di iniziativa popolare per l’abolizione dell’interdizione, dell’inabilitazione, e per la riforma dell’amministrazione di sostegno: per evitare che siano strumenti per continuare, esattamente come ai tempi del manicomio, a rinchiudere le persone con difficoltà contro la loro volontà,",400031,1800001,Abolizione degli istituti dell'interdizione e dell'inabilitazione. Riforma dell'amministrazione di sostegno.,Abolizione degli istituti dell'interdizione e dell'inabilitazione. Riforma dell'amministrazione di sostegno.,false,1478,https://dirittiallafollia.it/,,,50000,1999-12-31,2021-08-01,DIRITTO,4,DIRITTO,9999-12-31,2021-08-01,IN RACCOLTA FIRME,2,IN RACCOLTA FIRME,9999-12-31,2021-09-22,VERIFICATO,1,VERIFICATO,9999-12-31,2021-08-01,Legge di iniziativa popolare (art. 71 Costituzione),4,Legge di iniziativa popolare (art. 71 Costituzione),
0.content.6,0,2025-01-01,2025-07-01,9999-12-31,2023-05-13,2025-01-01,2024-12-28,2024-12-28T16:41:55,2025-01-01,"Le modifiche proposte:
Art. 32 Costituzione – le modifiche sono finalizzate ad evitare nuove future strumentalizzazioni del concetto di salute, a rendere effettivi i principi dell’inviolabilità del corpo e del rispetto della dignità dell’essere umano, assicurando il rispetto della salute dell’individuo, in senso materiale e spirituale, e con esso della civiltà e della democrazia.
Art.75 Costituzione e Legge cost.n.352/1970 – le modifiche intendono rendere realmente accessibile ai cittadini lo strumento referendario. Sono eliminati gli ostacoli che impediscono ai cittadini di potersi esprimere ed effettuare un vaglio critico sull’operato dei propri rappresentanti politici, anche su tematiche inerenti ai rapporti internazionali. Le firme necessarie per presentare la proposta referendaria sono ridotte da 500mila a 50mila; è stato tolto il quorum costitutivo ai fini della validità del voto, in modo da responsabilizzare i cittadini ed indurli a recarsi alle urne per fare la propria scelta; è stato eliminato il divieto di referendum per le leggi di autorizzazione alla ratifica dei trattati internazionali; sono state snellite le attività di controllo delle firme raccolte e di certificazione; sono stati ridotti i tempi occorrenti per arrivare al voto.
Art.135 Costituzione– è effidato ai cittadini il potere di eleggere i giudici della Corte Costituzionale tra magistrati,avvocati e docenti univ. per garantire l'indipendenza della Corte dalla politica. Mandato più breve ma rinnovabile.","MODIFICA ALL’ART. 32 COSTITUZIONE IN MATERIA DI DIRITTO ALLA SALUTE;
MODIFICA ALL’ART. 75 COSTITUZIONE E ALLA LEGGE COSTITUZIONALE 25/05/1970 N.352 IN MATERIA DI REFERENDUM;
MODIFICA ALL’ART. 135 COSTITUZIONE IN MATERIA DI NOMINA DEI GIUDICI DELLA CORTE COSTITUZIONALE E FORMAZIONE DI ELENCHI.

Con le modifiche proposte l’Assemblea Costituente dei Cittadini  intende valorizzare e rendere effettivi i principi della sovranità popolare (art.1 Cost.) e della centralità dell’essere umano, che costituiscono i capisaldi della nostra Costituzione e rappresentano le fondamenta di una vera democrazia.",1400000,1900000,"«Modifiche agli articoli 32, 75 e 135 della Costituzione e alla legge costituzionale 25 maggio 1970, n. 352» ","PROPOSTA DI LEGGE COSTITUZIONALE DI INIZIATIVA POPOLARE
«Modifiche agli articoli 32, 75 e 135 della Costituzione e alla legge costituzionale 25 maggio 1970, n. 352» (G.U., serie generale, n.111 del 13/05/2023)",false,1108,https://assembleacostituentecittadini.it/,,,50000,1999-12-31,2021-08-01,DIRITTO,4,DIRITTO,9999-12-31,2021-08-01,IN RACCOLTA FIRME,2,IN RACCOLTA FIRME,9999-12-31,2021-09-22,VERIFICATO,1,VERIFICATO,9999-12-31,2021-08-01,Legge di iniziativa popolare (art. 71 Costituzione),4,Legge di iniziativa popolare (art. 71 Costituzione),
0.content.7,0,2025-04-11,2025-07-11,9999-12-31,2025-04-09,2025-04-11,2025-04-10,2025-04-10T19:40:51,2025-04-11,"L’attuale forma di Polizia Locale in Italia è una polizia depotenziata e priva degli strumenti professionali necessari (ad esempio non ha accesso alle banche dati di polizia del Ministero dell’Interno, tanto da non poter sapere se la persona davanti è un comune cittadino o un pericoloso ricercato; deve pagare per accedere a tante altre banche dati pubbliche).

È divisa tra centinaia di autonomi Enti Locali, generando duplicazioni di strutture e di spese pubbliche.

È legata alla Politica locale.

Tutti questi Corpi e Servizi di Polizia Locale si sommano alle Amministrazioni di polizia già esistenti: Polizia di Stato, Carabinieri, Guardia di Finanza, Polizia Penitenziaria e Guardia Costiera.

Bisogna creare soluzioni più efficienti e razionalizzare le Forze di Polizia, eliminando questa forma di Polizia Locale ormai anacronistica.

Questo singolo quesito mira ad abrogare la legge fondamentale dell’attuale forma di Polizia Locale, più precisamente della sua organizzazione e delle sue funzioni istituzionali che oggi ha in Italia. Con l’abrogazione di questa legge, verrebbero meno le basi nazionali di tutti i Corpi ed i Servizi di Polizia Locale, compreso il loro vincolo con gli Enti Locali.

RICORDATI PERO' DI SOSTENERE E FIRMARE ANCHE GLI ALTRI 4!","È il primo dei 5 referendum con titolo “ABOLIZIONE DELLA POLIZIA LOCALE”, che mira ad eliminare la Polizia Locale di oggi (che comprende Polizia Municipale/Vigili Urbani e Polizia Provinciale/Metropolitana). Sostieni e firma tutti i 5 referendum che si trovano su questa piattaforma!",2200000,2900000,"Legge 7 marzo 1986 n. 65, «Legge-quadro sull’ordinamento della polizia municipale»",ABOLIZIONE DELLA POLIZIA LOCALE (1 di 5): abrogazione della legge fondamentale della Polizia Locale,false,4478,https://referendumabrogativopolizialocale.eu/,,,500000,1999-12-31,2021-08-01,DIRITTO,4,DIRITTO,9999-12-31,2021-08-01,IN RACCOLTA FIRME,2,IN RACCOLTA FIRME,9999-12-31,2021-09-22,VERIFICATO,1,VERIFICATO,9999-12-31,2021-08-01,Referendum  abrogativo (art. 75 Costituzione) ,1,Referendum  abrogativo (art. 75 Costituzione),
0.content.8,0,2025-04-11,2025-07-11,9999-12-31,2025-04-09,2025-04-11,2025-04-10,2025-04-10T20:26:16,2025-04-11,"L’attuale forma di Polizia Locale in Italia è una polizia depotenziata e priva degli strumenti professionali necessari (ad esempio non ha accesso alle banche dati di polizia del Ministero dell’Interno, tanto da non poter sapere se la persona davanti è un comune cittadino o un pericoloso ricercato; deve pagare per accedere a tante altre banche dati pubbliche).

È divisa tra centinaia di autonomi Enti Locali, generando duplicazioni di strutture e di spese pubbliche.

È legata alla Politica locale.

Tutti questi Corpi e Servizi di Polizia Locale si sommano alle Amministrazioni di polizia già esistenti: Polizia di Stato, Carabinieri, Guardia di Finanza, Polizia Penitenziaria e Guardia Costiera.

Bisogna creare soluzioni più efficienti e razionalizzare le Forze di Polizia, eliminando questa forma di Polizia Locale ormai anacronistica.

Questo singolo quesito mira ad abrogare una parte dell’articolo di legge citato, che riconosce agli appartenenti alla Polizia Locale la qualifica di agente di pubblica sicurezza. La Polizia Locale può infatti rientrare, quale Polizia Provinciale/Metropolitana, nel novero delle guardie campestri e boschive; e sicuramente rientra, quale Polizia Municipale/Vigili Urbani, nelle guardie dei Comuni. È un altro passo per la cancellazione dell’attuale forma di Polizia Locale, che altrimenti continuerebbe, almeno in parte, ad esistere.

RICORDATI PERO' DI SOSTENERE E FIRMARE ANCHE GLI ALTRI 4!","È il secondo dei 5 referendum con titolo “ABOLIZIONE DELLA POLIZIA LOCALE”, che mira ad eliminare la Polizia Locale di oggi (che comprende Polizia Municipale/Vigili Urbani e Polizia Provinciale/Metropolitana). Sostieni e firma tutti i 5 referendum che si trovano su questa piattaforma!",2200001,2900002,"Regio Decreto 31 agosto 1907 n. 690, «Che approva l’unito testo unico della legge sugli ufficiali ed agenti di pubblica sicurezza»",ABOLIZIONE DELLA POLIZIA LOCALE (2 di 5): eliminazione delle qualifiche di pubblica sicurezza in capo al personale della Polizia Locale,false,3296,https://referendumabrogativopolizialocale.eu/,,,500000,1999-12-31,2021-08-01,DIRITTO,4,DIRITTO,9999-12-31,2021-08-01,IN RACCOLTA FIRME,2,IN RACCOLTA FIRME,9999-12-31,2021-09-22,VERIFICATO,1,VERIFICATO,9999-12-31,2021-08-01,Referendum  abrogativo (art. 75 Costituzione) ,1,Referendum  abrogativo (art. 75 Costituzione),
0.content.9,0,2025-04-11,2025-07-11,9999-12-31,2025-04-09,2025-04-11,2025-04-10,2025-04-10T20:39:30,2025-04-11,"L’attuale forma di Polizia Locale in Italia è una polizia depotenziata e priva degli strumenti professionali necessari (ad esempio non ha accesso alle banche dati di polizia del Ministero dell’Interno, tanto da non poter sapere se la persona davanti è un comune cittadino o un pericoloso ricercato; deve pagare per accedere a tante altre banche dati pubbliche).

È divisa tra centinaia di autonomi Enti Locali, generando duplicazioni di strutture e di spese pubbliche.

È legata alla Politica locale.

Tutti questi Corpi e Servizi di Polizia Locale si sommano alle Amministrazioni di polizia già esistenti: Polizia di Stato, Carabinieri, Guardia di Finanza, Polizia Penitenziaria e Guardia Costiera.

Bisogna creare soluzioni più efficienti e razionalizzare le Forze di Polizia, eliminando questa forma di Polizia Locale ormai anacronistica.

Questo singolo quesito vuole abrogare una parte dell’articolo di legge citato, nel Codice di Procedura Penale, che riconosce agli appartenenti alla Polizia Locale la qualifica di agente di polizia giudiziaria. La Polizia Locale rientra infatti, quale Polizia Provinciale/Metropolitana, nel novero delle guardie delle Province; e rientra, quale Polizia Municipale/Vigili Urbani, nel novero delle guardie dei Comuni. È un altro passo per la cancellazione dell’attuale forma di Polizia Locale, che altrimenti continuerebbe, almeno in parte, ad esistere.

RICORDATI PERO' DI SOSTENERE E FIRMARE ANCHE GLI ALTRI 4!","È il terzo dei 5 referendum con titolo “ABOLIZIONE DELLA POLIZIA LOCALE”, che mira ad eliminare la Polizia Locale di oggi (che comprende Polizia Municipale/Vigili Urbani e Polizia Provinciale/Metropolitana). Sostieni e firma tutti i 5 referendum che si trovano su questa piattaforma!",2200003,2900003,"Decreto del Presidente della Repubblica 22 settembre 1988 n. 447, «Approvazione del codice di procedura penale»",ABOLIZIONE DELLA POLIZIA LOCALE (3 di 5): eliminazione delle qualifiche di polizia giudiziaria in capo al personale della Polizia Locale,false,3071,https://referendumabrogativopolizialocale.eu/,,,500000,1999-12-31,2021-08-01,DIRITTO,4,DIRITTO,9999-12-31,2021-08-01,IN RACCOLTA FIRME,2,IN RACCOLTA FIRME,9999-12-31,2021-09-22,VERIFICATO,1,VERIFICATO,9999-12-31,2021-08-01,Referendum  abrogativo (art. 75 Costituzione) ,1,Referendum  abrogativo (art. 75 Costituzione),
